full_name,number,position,height (in),weight (lb),date_of_birth,team,sign
"Alford, Robert",23,cornerback,70,186,11/1/88,ATL,scorpio
"Babineaux, Jonathan",95,defensive tackle,74,300,10/12/81,ATL,libra
"Davis, Dominique",4,quarterback,75,210,7/17/89,ATL,cancer
"Goodman, Malliciah",93,defensive end,76,276,1/4/90,ATL,capricorn
"Jackson, Steven",39,running back,74,240,7/22/83,ATL,cancer
"Jerry, Peria",94,defensive tackle,74,295,8/23/84,ATL,virgo
"Maponga, Stansly",90,defensive end,74,265,3/5/91,ATL,pisces
"Massaquoi, Jonathan",96,defensive end,74,264,5/18/88,ATL,taurus
"Matthews, Cliff",98,defensive end,76,268,8/5/89,ATL,leo
"McClain, Robert",27,cornerback,69,195,7/22/88,ATL,cancer
"Peters, Corey",91,defensive tackle,75,305,6/8/88,ATL,gemini
"Renfree, Sean",12,quarterback,77,225,4/28/90,ATL,taurus
"Rodgers, Jacquizz",32,running back,66,196,2/6/90,ATL,aquarius
"Ryan, Matt",2,quarterback,76,217,5/17/85,ATL,taurus
"Samuel, Asante",22,cornerback,70,185,1/6/81,ATL,capricorn
"Smith, Antone",35,running back,69,192,9/17/85,ATL,virgo
"Trufant, Desmond",21,cornerback,72,190,9/10/90,ATL,virgo
"Umenyiora, Osi",50,defensive end,75,255,11/16/81,ATL,scorpio
"Vaughan, Josh",30,running back,72,225,12/3/86,ATL,sagittarius
"Branch, Alan",90,defensive end,78,325,12/29/84,BUF,capricorn
"Brooks, Ron",33,cornerback,70,190,10/16/88,BUF,libra
"Bryant, Corbin",97,defensive tackle,76,300,1/4/88,BUF,capricorn
"Carrington, Alex",92,defensive end,77,301,6/19/87,BUF,gemini
"Choice, Tashard",20,running back,70,210,11/20/84,BUF,scorpio
"Dareus, Marcell",99,defensive tackle,75,331,3/13/90,BUF,pisces
"Gilmore, Stephon",24,cornerback,73,190,9/19/90,BUF,virgo
"Jackson, Fred",22,running back,73,216,2/20/81,BUF,pisces
"Kolb, Kevin",4,quarterback,75,218,8/24/84,BUF,virgo
"Lewis, Thad",9,quarterback,74,200,11/19/87,BUF,scorpio
"Manuel, E.J.",3,quarterback,76,237,3/19/90,BUF,pisces
"McKelvin, Leodis",21,cornerback,70,185,9/4/85,BUF,virgo
"Ross, Jay",69,defensive tackle,75,319,10/3/87,BUF,libra
"Spiller, C.J.",28,running back,71,200,8/5/87,BUF,leo
"Tuel, Jeff",7,quarterback,75,221,2/12/91,BUF,aquarius
"Williams, Kyle",95,defensive tackle,73,303,6/10/83,BUF,gemini
"Williams, Mario",94,defensive end,78,292,1/31/85,BUF,aquarius
"Bass, David",91,defensive end,76,256,9/11/90,CHI,virgo
"Bush, Michael",29,running back,73,245,6/16/84,CHI,gemini
"Cohen, Landon",97,defensive end,73,300,8/3/86,CHI,leo
"Collins, Nate",93,defensive tackle,74,296,12/14/87,CHI,sagittarius
"Cutler, Jay",6,quarterback,75,220,4/29/83,CHI,taurus
"Ford, Michael",32,running back,70,216,5/27/90,CHI,gemini
"Forte, Matt",22,running back,74,218,12/10/85,CHI,sagittarius
"Frey, Isaiah",31,cornerback,72,190,4/6/90,CHI,aries
"Hayden, Kelvin",24,cornerback,72,195,7/23/83,CHI,leo
"Jennings, Tim",26,cornerback,68,185,12/24/83,CHI,capricorn
"McClellin, Shea",99,defensive end,75,260,8/1/89,CHI,leo
"McCown, Josh",12,quarterback,76,213,7/4/79,CHI,cancer
"Melton, Henry",69,defensive tackle,75,295,10/11/86,CHI,libra
"Minter, Zach",96,defensive tackle,73,297,11/6/90,CHI,scorpio
"Paea, Stephen",92,defensive tackle,73,300,5/11/88,CHI,taurus
"Peppers, Julius",90,defensive end,79,287,1/18/80,CHI,capricorn
"Tillman, Charles",33,cornerback,74,198,2/23/81,CHI,pisces
"Tupou, Christian",64,defensive tackle,74,300,5/7/89,CHI,taurus
"Washington, Cornelius",94,defensive end,76,265,9/10/89,CHI,virgo
"Wilson, C.J.",25,cornerback,71,187,11/18/89,CHI,scorpio
"Wootton, Corey",98,defensive end,78,270,6/22/87,CHI,cancer
"Atkins, Geno",97,defensive tackle,73,303,3/28/88,CIN,aries
"Bernard, Gio",25,running back,69,208,11/22/91,CIN,scorpio
"Burkhead, Rex",33,running back,70,218,7/2/90,CIN,cancer
"Dalton, Andy",14,quarterback,74,220,10/29/87,CIN,scorpio
"Dunlap, Carlos",96,defensive end,78,280,2/28/89,CIN,pisces
"Evans, DeQuin",69,defensive end,74,265,5/17/87,CIN,taurus
"Geathers, Robert",91,defensive end,75,280,8/11/83,CIN,leo
"Gilberry, Wallace",95,defensive end,74,275,12/5/84,CIN,sagittarius
"Green-Ellis, BenJarvus",42,running back,71,220,7/2/85,CIN,cancer
"Hall, Leon",29,cornerback,71,195,12/9/84,CIN,sagittarius
"Hunt, Margus",99,defensive end,80,280,7/14/87,CIN,cancer
"Johnson, Josh",8,quarterback,75,205,5/15/86,CIN,taurus
"Johnson, Michael",93,defensive end,79,270,2/7/87,CIN,aquarius
"Jones, Adam",24,cornerback,70,180,9/30/83,CIN,libra
"Kirkpatrick, Dre",27,cornerback,74,185,10/26/89,CIN,scorpio
"Lewis-Harris, Chris",37,cornerback,70,180,2/11/89,CIN,aquarius
"Newman, Terence",23,cornerback,70,192,9/4/78,CIN,virgo
"Peerman, Cedric",30,running back,70,211,10/10/86,CIN,libra
